episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
22200,0.2,174250,82504.5,15762.262158203124,100000,0.06,6,89490.0,11,339,60,13,15,49,10,16,73
22300,0.2,-55000,89642.5,15713.280205078125,100000,0.05,9,97260.0,8,352,50,14,12,44,12,21,67
22400,0.2,121500,82866.5,15515.251884765625,100000,0.03,8,89850.0,6,331,57,15,15,58,10,14,82
22500,0.2,60000,93587.5,15847.92115234375,100000,0.0,4,98480.0,5,362,63,11,18,44,11,15,69
22600,0.2,144000,85056.5,16023.751962890625,100000,0.16,6,91930.0,7,333,54,26,11,37,13,11,96
22700,0.2,133500,89381.0,16014.304169921876,100000,0.05,3,94410.0,8,327,62,12,13,51,18,9,94
22800,0.2,62000,82419.0,15893.900693359376,100000,0.03,8,89900.0,7,302,55,13,17,44,18,14,122
22900,0.2,179000,77741.5,15614.0580078125,100000,0.03,9,85820.0,11,296,62,15,24,37,18,21,104
23000,0.2,33000,77371.5,15636.529033203125,100000,0.05,5,82890.0,11,295,62,18,21,46,13,16,115
23100,0.2,81750,92174.0,15717.7001171875,100000,0.08,3,96550.0,6,343,60,12,14,35,20,13,92
23200,0.2,24000,89774.0,15399.22650390625,100000,0.01,5,95380.0,5,358,52,21,11,41,11,10,85
23300,0.2,142000,94216.5,15248.8606640625,100000,0.11,3,98960.0,6,332,62,13,14,43,20,16,89
23400,0.2,159500,98309.5,15664.673623046874,100000,0.02,5,103410.0,6,356,68,14,16,37,15,14,68
23500,0.2,15500,102862.5,15749.5376953125,100000,0.04,1,105960.0,9,346,56,19,14,45,18,14,84
23600,0.2,121000,91915.5,15348.83548828125,100000,0.08,0,95360.0,10,351,62,22,8,44,9,18,86
23700,0.2,145750,103369.0,15730.78482421875,100000,0.01,3,106850.0,8,362,59,14,12,40,19,9,79
23800,0.2,130000,92760.0,15448.423759765625,100000,0.0,2,97070.0,8,342,66,14,15,43,11,20,81
23900,0.2,177000,81874.0,15581.94810546875,100000,0.05,8,88830.0,6,335,63,20,17,41,16,12,78
24000,0.2,126000,96388.5,15622.45220703125,100000,0.05,2,99400.0,4,326,64,19,11,55,9,18,93
24100,0.2,112000,88991.5,15297.86728515625,100000,0.05,6,94390.0,3,329,67,15,7,46,11,16,92
24200,0.2,172500,99129.0,15706.20490234375,100000,0.12,2,102470.0,13,336,53,17,14,49,16,16,95
24300,0.2,87500,95623.0,15398.513525390625,100000,0.02,5,101600.0,9,369,53,18,16,41,9,6,70
24400,0.2,125000,102997.0,15440.83349609375,100000,0.07,5,107390.0,6,334,56,12,13,45,10,18,97
24500,0.2,51000,83764.5,15328.57966796875,100000,0.05,7,90800.0,3,349,47,16,17,43,16,12,74
24600,0.2,60000,89206.0,15402.7097265625,100000,0.07,5,95130.0,9,346,55,18,20,44,6,17,81
