episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
7700,0.9837465555555556,22500,19425.0,11380.335888671874,44491,0.0,21,31840.0,8,411,16,24,28,23,19,30,19
7800,0.9835354444444444,154750,19620.0,11572.988852539063,45057,0.0,20,31880.0,12,400,24,17,31,29,19,22,24
7900,0.9833243333333334,-46000,25890.0,11584.12486328125,45626,0.0,17,37150.0,11,410,22,22,25,21,23,23,23
8000,0.9831132222222222,-53500,24580.0,11622.95916015625,46201,0.0,18,35050.0,4,406,20,19,23,29,26,28,24
8100,0.9829021111111111,-52250,28355.0,11544.84119140625,46788,0.0,15,37360.0,10,420,24,23,31,24,22,24,19
8200,0.982691,30750,25172.5,11728.833046875,47357,0.0,16,35080.0,4,407,21,19,28,15,29,28,22
8300,0.9824798888888889,-750,28455.0,11742.3439453125,47917,0.0,22,41030.0,8,400,24,17,26,18,20,23,32
8400,0.9822687777777778,1750,30022.5,11407.77556640625,48509,0.0,10,37070.0,9,422,26,20,22,31,24,24,23
8500,0.9820576666666667,67250,35890.0,11579.004140625,49090,0.0,13,43900.0,13,408,25,30,21,25,23,23,26
8600,0.9818465555555556,26250,25885.0,11678.104365234374,49657,0.0,24,39600.0,2,417,22,21,20,16,21,21,29
8700,0.9816354444444444,13000,28040.0,11348.57728515625,50241,0.0,16,37760.0,7,425,28,24,28,17,23,17,22
8800,0.9814243333333333,22000,39410.0,11506.42359375,50834,0.0,11,46140.0,6,425,31,22,20,21,18,25,31
8900,0.9812132222222222,43500,29657.5,11624.01888671875,51418,0.0,11,37360.0,6,422,27,20,16,22,28,24,25
9000,0.9810021111111111,12750,33642.5,11373.894150390624,51996,0.0,14,42190.0,11,406,29,20,29,22,20,30,22
9100,0.980791,41750,31905.0,11212.932866210938,52562,0.0,15,40860.0,13,394,26,27,32,26,16,21,24
9200,0.9805798888888889,39750,29520.0,11115.39689453125,53124,0.0,18,40410.0,3,402,26,22,20,26,21,18,27
9300,0.9803687777777778,-8250,32205.0,11512.441787109376,53699,0.0,15,40870.0,3,412,22,25,21,26,24,24,21
9400,0.9801576666666667,5750,31270.0,11604.57748046875,54292,0.0,9,37500.0,8,427,20,25,18,28,25,23,27
9500,0.9799465555555555,-67250,28640.0,11648.858203125,54879,0.0,16,37900.0,7,425,26,18,28,27,16,28,19
9600,0.9797354444444445,15500,41907.5,11439.086435546875,55455,0.0,13,50510.0,9,410,23,12,22,25,29,23,32
9700,0.9795243333333333,35000,43122.5,11609.317294921875,56033,0.0,10,49820.0,13,410,17,21,20,31,17,29,33
9800,0.9793132222222223,-500,24165.0,11358.981318359374,56615,0.0,18,35020.0,10,417,28,22,12,20,26,24,33
